nom;hippodrome;partants;victoires
L. LAMAZIERE;LYON LA SOIE;34;3
T. OUVRIE;LYON LA SOIE;4;0
F. BROUST;LYON LA SOIE;7;0
M. DUJMIC;LYON LA SOIE;6;1
G. VIDAL;LYON LA SOIE;10;0
N. CORMY;LYON LA SOIE;7;1
Y.A. BRIAND;LYON LA SOIE;19;3
B. THOMAS;LYON LA SOIE;17;0
P. CALLIER;LYON LA SOIE;44;4
L. GOETZ;LYON LA SOIE;3;1
A. GAUDIN;LYON LA SOIE;8;1
J.L. VERRIERE;LYON LA SOIE;3;0
M. BROUWER;LYON LA SOIE;3;1
TH. BUSSET;LYON LA SOIE;12;0
A. TINTILLIER;LYON LA SOIE;31;3
A. ANDRE;LYON LA SOIE;17;6
PH. GAILLARD;LYON LA SOIE;3;0
J.P. PRALUS;LYON LA SOIE;3;0
L. GARCIA;LYON LA SOIE;12;0
D. MARASCO;LYON LA SOIE;4;0
M. LAFFAY;LYON LA SOIE;2;0
G. LAURENT;LYON LA SOIE;6;0
N. PACHA;LYON LA SOIE;6;1
Q. DAOUGABEL;LYON LA SOIE;8;0
L. DURANTET;LYON LA SOIE;7;0
A. MUIDEBLED;LYON LA SOIE;1;0
F. OUVRIE;LYON LA SOIE;4;1
ALEXIS LERENARD;LYON LA SOIE;15;0
P.A. DELACOUR;ARGENTAN;5;0
C. PILFERT;ARGENTAN;1;0
A. REBECHE;ARGENTAN;5;0
TH. OSSUN;ARGENTAN;1;0
ET. LEFRANC;ARGENTAN;3;0
L. LAUDREN;ARGENTAN;1;0
G. JOUVE;ARGENTAN;3;1
J. CONDETTE;ARGENTAN;4;0
N. PERRON;ARGENTAN;8;1
J. JAMAULT;ARGENTAN;2;0
P. CIMAROSTI;ARGENTAN;7;2
CH. THIERRY;ARGENTAN;1;0
Q. MICHEL;ARGENTAN;5;1
G. CARDINE;ARGENTAN;1;0
K. CHAMPENOIS;ARGENTAN;2;0
T. BEAUVAIS;ARGENTAN;5;0
P. CASTEL;ARGENTAN;1;0
S. OLIVIER;ARGENTAN;5;0
P.A. RYNWALT-BOULARD;ARGENTAN;2;0
A. LAMY;ARGENTAN;2;0
L. GUILLEMIN;ARGENTAN;1;0
M. BIZOUX;ARGENTAN;1;0
S. POILANE;ARGENTAN;2;0
A. LENOIR;ARGENTAN;1;0
M. GILARD;ARGENTAN;3;0
