nom;hippodrome;partants;victoires
D. MALIZA;CHOLET;1;0
TH. BORODAJKO;CHOLET;2;0
R. LEVILLAIN;CHOLET;1;0
MME L. CHARRIAUD;CHOLET;1;0
P. VENTURA;CHOLET;2;0
P. VERVA;CHOLET;2;0
B. BEAUCAMP;CHOLET;2;0
A. LEDUC;CHOLET;1;0
D.M. OLIVIER;CHOLET;2;0
PH. JULIEN;CHOLET;2;0
M. HEURTEBISE;CHOLET;1;0
D. DELAROCHE;CHOLET;1;0
T. THURMES;STRASBOURG;5;0
F. DESMIGNEUX;STRASBOURG;9;2
J.L. DERSOIR;STRASBOURG;2;1
T. SCHWARMA;STRASBOURG;1;1
S. DE CUBBER;STRASBOURG;2;0
TH. BELLET;STRASBOURG;3;0
J.F. SENET;STRASBOURG;4;0
B. GOGLIN;STRASBOURG;1;0
L. CANNAERT;STRASBOURG;1;0
A. DUPERCHE;STRASBOURG;6;2
G. DESPREZ;STRASBOURG;5;3
T. DEPYPERE;STRASBOURG;3;0
M.J. BARCELO BISQUERRA;STRASBOURG;8;1
M. BLANQUET;STRASBOURG;1;0
LEO CHESNEL;STRASBOURG;1;0
LILIAN BERTIN;STRASBOURG;2;1
J. NUMMI;STRASBOURG;1;0
P. LECLERCQ;STRASBOURG;2;0
L. BAZIN;STRASBOURG;2;0
K. GALLE;STRASBOURG;1;0
TH. HUCHEDE;STRASBOURG;3;0
MME A.K. RASMUSSEN;STRASBOURG;1;0
F. WASSELIN;STRASBOURG;1;0
J.CL. LOUCHE;STRASBOURG;1;0
G. DEPYPERE;STRASBOURG;1;1
Y. ACKER;STRASBOURG;2;0
MLLE C. DA COSTA;STRASBOURG;1;0
B. DESCHARLES;STRASBOURG;2;0
PH. TERME;CAVAILLON;1;0
F. GUILLEMAIN;CAVAILLON;1;0
F. YVANES;CAVAILLON;2;0
MLLE S. BLANCHETIERE;CAVAILLON;2;0
GUILLAUME LEMOINE;CAVAILLON;1;0
E. GOUT;CAVAILLON;2;0
MICKAEL CORMY;CAVAILLON;2;0
M. CINIER;CAVAILLON;3;0
N. MORTAGNE;CAVAILLON;3;0
G. GELORMINI;CAVAILLON;4;0
MARTIN CORMY;CAVAILLON;1;1
Q. SEGUIN;CAVAILLON;1;0
J.B. BONET;CAVAILLON;1;0
CH. MARTENS;CAVAILLON;4;0
M. CRIADO;CAVAILLON;2;0
PIERRICK LE MOEL;CAVAILLON;1;0
ED. COUBARD-MEUNIER;CAVAILLON;2;0
R. BOUVIER;CAVAILLON;4;1
A. GUZZINATI;CAVAILLON;1;1
D. DEMURU;CAVAILLON;1;0
F. OUVRIE;CAVAILLON;1;0
L. GOETZ;CAVAILLON;1;0
F. MARTY;CAVAILLON;1;0
M. TIJOU;CAVAILLON;1;0
S. GILLES;VINCENNES;2;0
MLLE A. BEAUCAMP;VINCENNES;1;0
MATTHIEU CORBIN;VINCENNES;1;0
H. NOBILET;VINCENNES;1;0
TH. SCIPION;VINCENNES;1;0
G. FAVRIS;VINCENNES;1;0
J. FROUCHART;VINCENNES;1;0
V. BOULTAREAU;VINCENNES;1;0
TH. BIZOUX;VINCENNES;1;0
M. VAUDOIT;VINCENNES;2;0
G. CELIS;VINCENNES;1;0
C. HERIVAUX;LYON-PARILLY;2;0
M. ABRIVARD;LYON-PARILLY;3;0
PH. DAUGEARD;LYON-PARILLY;4;2
N. BAZIRE;LYON-PARILLY;5;2
D. LOCQUENEUX;LYON-PARILLY;1;0
B. ROCHARD;LYON-PARILLY;3;0
E. RAFFIN;LYON-PARILLY;3;2
F. OUVRIE;LYON-PARILLY;8;2
F. DESMIGNEUX;LYON-PARILLY;2;0
J.P. MAILLARD;LYON-PARILLY;1;0
A. GENDROT;LYON-PARILLY;3;0
ET. DELAUNAY;LYON-PARILLY;1;0
MLLE S. BLANCHETIERE;LYON-PARILLY;2;0
B. FEDRY;LYON-PARILLY;2;0
PH. JEANNERET;LYON-PARILLY;1;0
LUC DUMONT;LYON-PARILLY;2;0
MLLE G. AMBROGIO;LYON-PARILLY;2;0
M.M. MUTEL;LYON-PARILLY;2;0
F. GUERINEAU;LYON-PARILLY;9;3
X. BOVAY;LYON-PARILLY;5;1
PH. GAILLARD;LYON-PARILLY;4;0
E. BRIAND;LYON-PARILLY;4;0
W. DEVENNE;LYON-PARILLY;1;0
D.A. HAON;LYON-PARILLY;3;0
MLLE V. LEMETAYER;LYON-PARILLY;1;0
M. DEMISSY;LYON-PARILLY;2;0
A. CURY;LYON-PARILLY;2;0
K. BROSSARD;LYON-PARILLY;1;1
RENE LEGATI;LYON-PARILLY;1;0
L.J. LEGROS;LYON-PARILLY;1;0
M. ABRIVARD;MESLAY DU MAINE;3;0
A. COLLETTE;MESLAY DU MAINE;8;1
G. JUNOD;MESLAY DU MAINE;1;0
H. MONTHULE;MESLAY DU MAINE;2;2
A. WIELS;MESLAY DU MAINE;1;0
G. DONIO;MESLAY DU MAINE;1;0
TH. ROUSSIN;MESLAY DU MAINE;1;0
J.F. SENET;MESLAY DU MAINE;2;0
R. POJASEK;MESLAY DU MAINE;1;0
S. BAUDE;MESLAY DU MAINE;4;0
F. PRIOUL;MESLAY DU MAINE;1;0
CH.J. BIGEON;MESLAY DU MAINE;4;0
A. ANDRE;MESLAY DU MAINE;3;0
GUILLAUME MARTIN;MESLAY DU MAINE;1;1
JULIEN RAFFESTIN;MESLAY DU MAINE;1;0
G. LENAIN;MESLAY DU MAINE;1;0
ADRIEN BLANDIN;MESLAY DU MAINE;1;0
C. GOURGAND;MESLAY DU MAINE;1;0
N. PACHA;VINCENNES;3;0
M. DUDOUIT;VINCENNES;1;0
E. LELIEVRE;VINCENNES;7;1
P. DEVESLY;LA CEPIERE;1;0
L.G. RICHARD;LA CEPIERE;1;0
T. LE BELLER;LA CEPIERE;2;0
GUILLAUME MARTIN;LA CEPIERE;3;1
D. LOCQUENEUX;LA CEPIERE;2;0
P.J. CORDEAU;LA CEPIERE;1;0
S. DIEUDONNE;VINCENNES;1;0
J.M. BAZIRE;VINCENNES;24;5
T. VALLETTE;AMIENS;2;0
TH. ADELAIDE;AMIENS;1;0
L. BAZIN;AMIENS;1;0
MLLE CH. BERTHOMIER CHARLES;AMIENS;2;0
B. DEBRIS;AMIENS;1;0
J. DEVILLE;AMIENS;1;0
H. LE BELLER-ESARTIAL;AMIENS;1;0
F. GELU;AMIENS;1;0
FL. BUTTIER;AMIENS;1;0
A. GALLARD;AMIENS;1;0
L. CHUPIN;AMIENS;1;0
R. HOJKA;AMIENS;2;0
MLLE M. DE MEYER;AMIENS;6;1
MME R. MASSON;AMIENS;1;0
D. THIEFAINE;AMIENS;1;0
Y. LEBOURGEOIS;AMIENS;6;1
J.G. VAN EECKHAUTE;AMIENS;4;2
T. LE BELLER;AMIENS;1;0
C. ENAULT;AMIENS;1;0
A. MUIDEBLED;AMIENS;2;1
A. CHERADAME;AMIENS;2;0
G. LANNOO;AMIENS;4;0
TANGUY DEVOUASSOUX;AMIENS;4;1
L.J. LEGROS;AMIENS;5;1
MME B. REMY;AMIENS;2;0
JEROME DAVID;AMIENS;7;0
S. MOMBOURG;AMIENS;1;0
A. LELODET;AMIENS;3;0
TH. ROUSSEL;AMIENS;1;0
P. SORAIS;AMIENS;1;0
G. MOINON;AMIENS;3;0
A. POPOT;AMIENS;2;0
J. MELIS MACIAS;AMIENS;3;0
J.B. LEMOINE;AMIENS;2;0
G. LEFEBVRE;AMIENS;1;0
F. HANOT;AMIENS;1;0
M. BLANQUET;AMIENS;1;0
A. LAURENT;AMIENS;4;0
MME M. HERGNO;PONTCHATEAU;2;0
A. MANTA;PONTCHATEAU;1;0
C. MAROLLEAU;PONTCHATEAU;1;0
CH.M. DUVAL;PONTCHATEAU;1;0
P. BESSON;PONTCHATEAU;1;0
CH. SORIEUX;PONTCHATEAU;1;0
S. GUEN;PONTCHATEAU;1;0
L. VRAC;PONTCHATEAU;1;0
J.PH. DERRIAN;PONTCHATEAU;1;0
B. PELLAN;PONTCHATEAU;1;0
S. ROCHER;PONTCHATEAU;1;1
F. ROCHETTE;PONTCHATEAU;1;0
E. RAFFIN;PONTCHATEAU;9;5
D. BONNE;PONTCHATEAU;2;0
O. POTIER;PONTCHATEAU;1;0
C. DELBECQ;PONTCHATEAU;1;0
ETIENNE DUBOIS;PONTCHATEAU;1;1
TH. RAFFIN;PONTCHATEAU;2;0
CL.Y. FOUGERES;PONTCHATEAU;2;0
C. GOURGAND;PONTCHATEAU;1;0
D.M. OLIVIER;PONTCHATEAU;2;0
A. GILLES;PONTCHATEAU;1;0
E. GARNIER;PONTCHATEAU;1;0
J. BESCHER;PONTCHATEAU;1;0
M. BAULAIN;PONTCHATEAU;1;0
MLLE CL. BEILEARD;PONTCHATEAU;4;0
R. SEVESTRE;PONTCHATEAU;1;0
R. MARTY;PONTCHATEAU;5;0
P. BOUGON BOUGEARD;PONTCHATEAU;1;0
J. GROIZEAU;PONTCHATEAU;1;0
A. GALLARD;PONTCHATEAU;1;0
A. ANDRE;PONTCHATEAU;1;0
A.G. MAILLARD;GRAIGNES;7;0
E. HENRY;GRAIGNES;1;0
A. ROUSSEAU;GRAIGNES;4;1
F. NIVARD;GRAIGNES;7;1
A. PLARD;GRAIGNES;1;0
G. GUILBERT;GRAIGNES;1;0
A. LENOIR;GRAIGNES;3;0
B. GROULT;GRAIGNES;3;0
L. BALU;GRAIGNES;1;0
P. BELLOCHE;GRAIGNES;4;0
M. DUDOUIT;GRAIGNES;1;0
Y. ROBLOT;GRAIGNES;3;0
V.TH. RENAULT;GRAIGNES;3;0
A. PRAT;GRAIGNES;1;0
JEROME DAVID;GRAIGNES;6;0
CH. DREUX;GRAIGNES;1;0
L. BRECHAT;AGEN LA GARENNE;1;0
MLLE P. BELUZE;AGEN LA GARENNE;2;0
Q. DAOUGABEL;AGEN LA GARENNE;2;0
MARTIAL GAUVIN;AGEN LA GARENNE;2;1
S. GAZON;AGEN LA GARENNE;1;0
S. BOUISSON;AGEN LA GARENNE;1;0
S. PERRAGUIN;AGEN LA GARENNE;1;0
MLLE J.M. ABRIVARD;AGEN LA GARENNE;2;0
P. NEVEU HERBRETEAU;AGEN LA GARENNE;2;0
N. DELORME;AGEN LA GARENNE;4;0
N. LOISEAU;AGEN LA GARENNE;1;0
M. BESNARD;AGEN LA GARENNE;1;0
W. BAUDY;ORAISON;2;0
S. STEFANO;ORAISON;1;0
R. GOUT;ORAISON;1;0
D. BEKAERT;ORAISON;2;2
J. GUELPA;ORAISON;1;0
N. CINIER;ORAISON;1;0
G. TOURON;ORAISON;2;0
J.CH. FERON;ORAISON;2;0
O. MERLE;ORAISON;1;0
N. MOUROT;ORAISON;1;0
CH. BOUTEILLER;ORAISON;1;0
TH. GOUT;ORAISON;3;0
F. TUGEND;ORAISON;1;0
H. SOREL;ORAISON;2;0
K. DEVIENNE;ORAISON;3;0
D.G. CHAVATTE;PARAY LE MONIAL;1;0
F. GIARD;PARAY LE MONIAL;1;0
B. CHAUVE-LAFFAY;PARAY LE MONIAL;1;0
J.B. LEMOINE;LISIEUX;3;0
S. BROUARD;LISIEUX;1;0
B. HARDY;LISIEUX;2;0
CL. THOMAIN;LISIEUX;9;0
TH. DUVALDESTIN;LISIEUX;3;2
J. VILAULT;LISIEUX;1;0
M. TOUZET;LISIEUX;2;1
G. D'HAENENS;LISIEUX;2;1
T. GOUSSIN;LISIEUX;2;0
K. BROSSARD;LISIEUX;5;0
F.A. WARTEL;LISIEUX;2;0
M. VAUDOIT;LISIEUX;2;0
F. HERIVAUX;LISIEUX;1;0
G. GILARD;LISIEUX;2;0
G. LEMAITRE;LISIEUX;2;0
J. PLASSAIS;LISIEUX;1;0
A. THOLLAS;LISIEUX;2;0
L. LEGRAND;LISIEUX;3;0
MME ANDREA MAILLARD;LISIEUX;1;0
J.CH. BEAUFILS;LISIEUX;2;1
A. RANDON;LISIEUX;1;0
J. CONDETTE;LISIEUX;2;0
A. PACARY;LISIEUX;1;0
S. DIEUDONNE;LISIEUX;1;0
R. DELAUNE;LISIEUX;2;0
D. BROHIER;LISIEUX;1;0
M. LEBREC;LISIEUX;1;0
J. RUAULTS;LISIEUX;3;0
L. SWITA;LISIEUX;1;0
J. BORDAS;LISIEUX;3;0
MME J. CHARBONNEAU;LISIEUX;1;0
L.F. LARUE;LISIEUX;2;0
J. MATHELIER;LISIEUX;1;0
TH. MOREL;LISIEUX;1;0
L. AUDEBERT;LISIEUX;1;0
B. CHEVILLARD;LISIEUX;1;0
F.M. ROUSSEL;LISIEUX;2;0
B. LEBEY;LISIEUX;2;0
J.PH. BAZIRE;LISIEUX;2;0
ARNAUD GIRARD;LISIEUX;2;0
T. PERRIER;LISIEUX;1;0
MLLE MAUD GOETZ;LISIEUX;2;0
MLLE A. CHANTRIS;LISIEUX;1;0
A. MONNIER;LISIEUX;1;0
MME P. CAVANIE;LISIEUX;2;1
D. GRIMAULT;LISIEUX;1;0
FABRICE CHARTIER;LISIEUX;1;0
F. BERTHAULT;LISIEUX;1;0
O. FOUILLET;LISIEUX;2;0
CH. HEOT;LISIEUX;2;0
F. CHAPDELAINE;LISIEUX;2;0
A. PILLON;RAMBOUILLET;3;0
E. DOUANEAU;RAMBOUILLET;4;0
A. COLLETTE;RAMBOUILLET;9;0
M.J. BARCELO BISQUERRA;RAMBOUILLET;3;0
M. IZZO;RAMBOUILLET;2;0
S. HARDY;RAMBOUILLET;5;0
J. LEROULLEY;RAMBOUILLET;2;0
T. OUVRIE;RAMBOUILLET;3;0
G. GELORMINI;RAMBOUILLET;13;2
A. LELODET;RAMBOUILLET;1;0
P.PH. PLOQUIN;RAMBOUILLET;10;1
PH. PERRET;RAMBOUILLET;1;0
C. FRECELLE;RAMBOUILLET;1;0
J.G. VAN EECKHAUTE;RAMBOUILLET;1;0
J. JAMAULT;RAMBOUILLET;2;0
A. RINGLER;RAMBOUILLET;2;1
A. LEDUC;RAMBOUILLET;1;0
JULIEN RAFFESTIN;RAMBOUILLET;2;1
G. JOUVE;RAMBOUILLET;1;0
S. DESNOS;RAMBOUILLET;1;0
P.EDOUARD MARY;RAMBOUILLET;2;0
D. ARMELLINI;RAMBOUILLET;2;0
M. DURVILLE;RAMBOUILLET;1;0
G. MOINON;RAMBOUILLET;1;0
D. CHERADAME;RAMBOUILLET;1;0
B. COGNE;RAMBOUILLET;1;0
CL. FRECELLE;RAMBOUILLET;1;0
MLLE C. CHERADAME;RAMBOUILLET;1;0
A. MARIE;RAMBOUILLET;1;0
J.M. LEGROS;RAMBOUILLET;1;0
A. MERIEL;RAMBOUILLET;1;0
A. UNTERREINER;RAMBOUILLET;1;0
T. MARSAULT;RAMBOUILLET;1;0
MLLE A. BEAUCAMP;RAMBOUILLET;1;0
H. JOUAULT;RAMBOUILLET;1;0
S. DEWULF;RAMBOUILLET;1;0
ALEXIS BERNARD;RAMBOUILLET;1;0
S. GILLES;RAMBOUILLET;1;0
B. MADELINE;RAMBOUILLET;2;0
MLLE D. BERCHER;RAMBOUILLET;2;0
A. GARREAU;RAMBOUILLET;1;0
TH. ADELAIDE;RAMBOUILLET;2;0
MLLE F. AUBER;RAMBOUILLET;2;0
J. CANDON;RAMBOUILLET;2;1
MLLE L. LIZEE;RAMBOUILLET;1;1
B. ROCHARD;ARGENTAN;2;0
D. THOMAIN;ARGENTAN;12;1
E. LELIEVRE;ARGENTAN;1;1
D. DELAROCHE;ARGENTAN;3;0
G. WILLEMS;ARGENTAN;1;0
M. MOTTIER;ARGENTAN;6;2
E. RAFFIN;ARGENTAN;2;0
C. TESTARD;ARGENTAN;1;0
CL. DUVALDESTIN;ARGENTAN;1;0
G. MARIN;ARGENTAN;2;0
E. CONIGLIO;ARGENTAN;1;0
D. CZERWINSKI;ARGENTAN;1;0
M. BEZIER;ARGENTAN;2;0
J.L.CL. DERSOIR;ARGENTAN;2;0
L.J. MARTIN;ARGENTAN;1;0
A. LEPRIEUR;ARGENTAN;1;0
Q.B. VERNEUIL;ARGENTAN;1;0
P.Y. GOUIN;ARGENTAN;1;0
MME N. DESCAMPS;ARGENTAN;1;0
E. NICOLAYSEN;ARGENTAN;1;0
L. TAUGOURDEAU;ARGENTAN;1;0
S.P. BLONDEAU;ARGENTAN;1;0
S. GILLES;ARGENTAN;1;0
E. GLORIA;ARGENTAN;1;0
M. ABRIVARD;LE BOUSCAT;4;2
C. HERSERANT;LE BOUSCAT;1;0
V. ROYER;LE BOUSCAT;1;0
A. OMRANI;LE BOUSCAT;1;0
M. POTIER;LE BOUSCAT;1;1
L. BEAUMONT;LE BOUSCAT;1;0
B. GOGLIN;LE BOUSCAT;1;1
V.M. MORIN;LE BOUSCAT;1;0
J. BABIEL;LE BOUSCAT;1;0
TH. MARTIN;LE BOUSCAT;1;1
MLLE ADELINE HARET;LE BOUSCAT;1;0
N. DELORME;LE BOUSCAT;1;0
J. BOUYNE;LE BOUSCAT;1;0
F. DELPECH;LE BOUSCAT;1;0
D. RABILLER;LE BOUSCAT;1;0
MME E. SOURICE;LE BOUSCAT;1;0
PH. MIGEOT DE BARAN;LE BOUSCAT;1;0
J.J. BELLEVEAUX;LE CROISE LAROCHE;1;0
A. MALLET;LE CROISE LAROCHE;1;0
D. THIEFAINE;LE CROISE LAROCHE;2;0
L.F. LARUE;LE CROISE LAROCHE;2;0
P. BOUGON BOUGEARD;LE CROISE LAROCHE;2;0
G. LEMAITRE;LE CROISE LAROCHE;2;0
N. PACHA;LE CROISE LAROCHE;2;0
D. KUMPEN;LE CROISE LAROCHE;1;0
P.PH. PLOQUIN;LE CROISE LAROCHE;15;1
R. ROIG-BALAGUER;LE CROISE LAROCHE;1;0
LUC A. LANNOO;LE CROISE LAROCHE;2;0
M. VAN DOOYEWEERD;LE CROISE LAROCHE;1;1
MLLE MANON ROTSAERT;LE CROISE LAROCHE;1;0
B. BEAUCAMP;LE CROISE LAROCHE;1;0
J. CORBANIE;LE CROISE LAROCHE;2;0
PH. DE MUNSTER;LE CROISE LAROCHE;2;0
P.M. ALLAIS;LE CROISE LAROCHE;2;1
S. ROCHER;LE CROISE LAROCHE;1;0
J.F. NOEL;LE CROISE LAROCHE;1;0
J.M. BERTRAND;LE CROISE LAROCHE;1;0
M. HERMEL;LE CROISE LAROCHE;1;0
M. PALMIERI;LE CROISE LAROCHE;2;0
L. BAZIN;LE CROISE LAROCHE;3;0
A. PACHA;LE CROISE LAROCHE;1;0
S. VERPLANCKEN;LE CROISE LAROCHE;1;0
G. DEPYPERE;LE CROISE LAROCHE;2;0
P. HOUEL;LYON-PARILLY;1;0
F. PRAT;LYON-PARILLY;1;0
F. TUGEND;LYON-PARILLY;5;0
G. GELORMINI;LYON-PARILLY;5;1
S. STEFANO;LYON-PARILLY;8;0
JULIEN RAFFESTIN;LYON-PARILLY;4;2
LILIAN BERTIN;LYON-PARILLY;4;1
A. TOMASELLI;LYON-PARILLY;1;0
S. CINGLAND;LYON-PARILLY;5;0
S. ROGER;LYON-PARILLY;2;0
A. DE VAUGIRAUD;LYON-PARILLY;1;1
MARTIAL GAUVIN;LYON-PARILLY;7;0
R. KUIPER;LYON-PARILLY;3;0
L. BEILEARD;LYON-PARILLY;1;0
P.A. DELACOUR;LYON-PARILLY;2;0
L. DURANTET;LYON-PARILLY;3;0
G. BOUYER;LYON-PARILLY;3;0
TH. LEMOINE;LYON-PARILLY;2;0
V. FOUCAULT;LYON-PARILLY;1;0
B. VALLETTE;LYON-PARILLY;1;0
A. JANNIER;VINCENNES;1;0
B. THIENNE;VINCENNES;2;0
J.J. BELLEVEAUX;VINCENNES;1;1
Q. BOUYNE;VINCENNES;1;0
J. DELFORGE;VINCENNES;1;0
LOUIS LAHOUCINE;VINCENNES;1;0
R. VILAULT;VINCENNES;2;0
L. CASTEL;VINCENNES;1;0
B. ROUER;VINCENNES;2;0
A. MARCHAUX;VINCENNES;1;0
L. TAUGOURDEAU;VINCENNES;2;1
A. DESBOIS;VINCENNES;1;0
Q. CHAMPENOIS;VINCENNES;4;0
A. LAIR;VINCENNES;1;0
PH.R. MARY;VINCENNES;3;0
S. GILLES;CORDEMAIS;1;0
D. GRIMAULT;CORDEMAIS;1;0
TH. MARTIN;CORDEMAIS;1;0
P.Y. GOUIN;CORDEMAIS;1;0
S. BIZEUL;CORDEMAIS;1;0
C. BATY;CORDEMAIS;1;0
A. SINENBERG;CORDEMAIS;1;0
L.J. MARTIN;CORDEMAIS;1;0
J.PH. DERRIAN;CORDEMAIS;1;0
A. CANCOUET;CORDEMAIS;1;0
A. SLIMANE;CORDEMAIS;1;0
F. TOUCHARD;CORDEMAIS;1;0
B. ROCHARD;CORDEMAIS;2;0
R. CONGARD;CORDEMAIS;1;0
E. RAFFIN;CORDEMAIS;5;1
M. MOTTIER;CORDEMAIS;4;0
F. DELANOE;CORDEMAIS;1;0
N. BAZIRE;CORDEMAIS;1;0
A. COLLETTE;CORDEMAIS;2;0
F.P. BOSSUET;CORDEMAIS;1;0
R. LAMY;CORDEMAIS;3;0
M. PEAN;CORDEMAIS;2;0
L.M. DAVID;CORDEMAIS;3;2
G. GELORMINI;CORDEMAIS;2;0
H. MONTHULE;CORDEMAIS;2;1
P.PH. PLOQUIN;CORDEMAIS;2;0
J.B. LELIEVRE;CORDEMAIS;2;0
M. LEGROS;CORDEMAIS;1;0
S. DIEUDONNE;CORDEMAIS;1;0
R. MARTY;CORDEMAIS;1;0
CL.Y. FOUGERES;CORDEMAIS;1;0
A. ANGOT;CORDEMAIS;1;0
V. TESTARD;CORDEMAIS;1;0
R. PALIERNE;CORDEMAIS;1;0
A. CHARRIE;CORDEMAIS;1;0
P.EDOUARD MARY;CORDEMAIS;1;0
CL. CHABRUN;CORDEMAIS;1;0
W. PLAIRE;CORDEMAIS;1;0
A. GUARATO;CORDEMAIS;1;0
N. MARTINEAU;REIMS;1;0
F. LAGADEUC;REIMS;4;2
A.G. MAILLARD;REIMS;2;1
N. D'HAENENS;REIMS;1;0
M. IZZO;REIMS;3;0
R.R. BOUCAULT;REIMS;1;0
M. VAUDOIT;REIMS;3;0
G. HOUEL;REIMS;2;0
S. HOUYVET;REIMS;2;0
J.G. VAN EECKHAUTE;REIMS;3;0
EMILIEN DUPONT;REIMS;1;0
P. DEVESLY;REIMS;1;0
M. GOETZ;REIMS;5;1
M.A. BOVAY;REIMS;1;0
A. REBECHE;REIMS;1;0
L. LAMAZIERE;BORELY;13;2
R. BUFFAVAND;BORELY;1;0
J.B. BONET;BORELY;3;0
G.R. HUGUET;BORELY;1;0
AXEL LAIGRON;BORELY;2;0
S. TRIOMPHE;BORELY;2;0
K. AXISA;BORELY;1;0
F. YVANES;BORELY;1;0
MME M. ROUBAUD;BORELY;3;0
TH. LEVESQUE;ENGHIEN;3;1
O.J. ANDERSSON;ENGHIEN;1;0
T. OUVRIE;ENGHIEN;7;0
L. KOUBICHE;ENGHIEN;1;0
R. HEMERY;ENGHIEN;3;0
FRANCOIS LECATHELINAIS;ENGHIEN;1;0
G. BAUDOUIN;ENGHIEN;1;0
M. GOETZ;ENGHIEN;5;1
E. CONIGLIO;ENGHIEN;1;0
Q. LUC;ENGHIEN;1;0
K. BROSSARD;ENGHIEN;2;0
F. HERIVAUX;ENGHIEN;2;1
MLLE A. LEPERE;ENGHIEN;1;0
G. DESPREZ;ENGHIEN;1;0
B. ROBIN;ENGHIEN;4;0
G. JUNOD;ENGHIEN;2;0
C. ENAULT;ENGHIEN;1;0
V. REZE;ENGHIEN;2;0
PIERRE ABRIVARD;ENGHIEN;1;0
M. GARCON;ENGHIEN;1;0
TH. BORODAJKO;ENGHIEN;1;0
A. BESCHER;ENGHIEN;1;0
J. DELFORGE;ENGHIEN;1;0
CH. MANEGAT;ENGHIEN;2;0
F. ROBIN;ENGHIEN;2;0
J. ROUX;ENGHIEN;2;0
S. CHAVANEL-ALBIRA;ENGHIEN;1;0
MME CH. FARRUGIA;ENGHIEN;1;0
A. UNTERREINER;ENGHIEN;1;0
S. DERSOIR;ENGHIEN;2;0
H. NOBILET;ENGHIEN;1;0
A. DAULIER;ENGHIEN;1;0
J.PH. BAZIRE;ENGHIEN;3;0
TH. SCIPION;ENGHIEN;1;0
S. DEWULF;ENGHIEN;1;0
L. BAUDRON;VINCENNES;11;1
ALEXANDRE BODIN;BORELY;3;1
P. CALLIER;BORELY;2;0
N. ENSCH;BORELY;28;0
E. DE JESUS;BORELY;1;0
CL. MATHE;BORELY;5;0
W. BAUDY;BORELY;4;0
L. MARTINIERE;LA CEPIERE;1;0
M. ANTOLIN;LA CEPIERE;1;0
MLLE C. LEGRAIN;LA CEPIERE;1;0
C. COUSTES;LA CEPIERE;2;0
CH. BOUTEILLER;LA CEPIERE;2;0
A. FAVRIS;LA CEPIERE;2;0
V. ROYER;LA CEPIERE;1;0
M. DUJMIC;LA CEPIERE;1;0
LILIAN BERTIN;LA CEPIERE;1;0
G. ACHE;LA CEPIERE;1;0
C. BATY;LA CEPIERE;1;0
M. TRIVERIO;LA CEPIERE;1;0
A. RIVIERE;LA CEPIERE;1;0
D.E. CORDEAU;LA CEPIERE;1;0
A. LAURENT;ENGHIEN;3;3
F. GUERINEAU;ENGHIEN;1;0
D. BEKAERT;ENGHIEN;10;0
CL. DUVALDESTIN;ENGHIEN;9;7
B. LE BELLER;ENGHIEN;10;1
PH. MASSCHAELE;ENGHIEN;1;0
MLLE L. DARLAY;ENGHIEN;2;0
D. HUE;ENGHIEN;1;0
G. MARIN;ENGHIEN;1;0
H. MONTHULE;ENGHIEN;3;0
P. HOUEL;ENGHIEN;2;0
A. LHERETE;ENGHIEN;2;1
M. VARIN;ENGHIEN;1;0
CH. CRIADO;ENGHIEN;1;0
D. LOCQUENEUX;ENGHIEN;9;0
N. MARTINEAU;ENGHIEN;2;0
J.CH. SOREL;AVIGNON;3;1
S. CINGLAND;AVIGNON;4;0
J. UROZ;AVIGNON;1;0
J.F. SENET;AVIGNON;1;0
P. CALLIER;AVIGNON;1;0
E. BRIAND;AVIGNON;1;0
ED. COUBARD-MEUNIER;AVIGNON;4;0
ALEXANDRE BODIN;AVIGNON;1;0
E. GOUT;AVIGNON;1;0
H. SOREL;AVIGNON;2;0
L. LAMAZIERE;AVIGNON;3;0
CH. LEJEUNE;LA CAPELLE;1;0
MATHIEU VERDEZ;LA CAPELLE;1;0
PH. GUINARD;LA CAPELLE;1;0
A. UNTERREINER;LA CAPELLE;1;0
F. LAIR;LA CAPELLE;2;0
K. ACHARD;LA CAPELLE;3;1
L. GUENET;LA CAPELLE;3;2
P. BOUGON BOUGEARD;LA CAPELLE;2;0
MLLE D. BESSE;LA CAPELLE;1;0
D. THIEFAINE;LA CAPELLE;3;0
R. HOJKA;LA CAPELLE;1;0
J. DENISOT;LA CAPELLE;1;0
N. RAIMBEAUX;LA CAPELLE;3;0
A. DUPERCHE;LA CAPELLE;6;0
G. GELORMINI;LA CAPELLE;12;0
G.A. POU POU;LA CAPELLE;6;0
A. ABRIVARD;LA CAPELLE;12;1
A. COLLETTE;LA CAPELLE;13;1
G. ROIG-BALAGUER;LA CAPELLE;6;0
E. MAHE;LA CAPELLE;1;0
G. HORRACH VIDAL;LA CAPELLE;3;0
MLLE M. SOISMIER;LA CAPELLE;2;0
F. CHARTIER;LA CAPELLE;1;0
M. GRUMETZ;LA CAPELLE;5;0
J. MAZOU;AGEN LA GARENNE;2;0
C. COUSTES;AGEN LA GARENNE;1;0
J. DHOUM;AGEN LA GARENNE;2;0
J.M. BERNARD;AGEN LA GARENNE;1;1
C. CLOZIER;AGEN LA GARENNE;1;0
G. ACHE;AGEN LA GARENNE;5;0
MME A. TESSIER;AGEN LA GARENNE;1;0
P.X.  FLEURY;AGEN LA GARENNE;1;0
MLLE M. COLLET;AGEN LA GARENNE;1;0
