nom;partants;victoires
E.G. BLOT;94;3
V. COLIGNY;34;1
V. RENAULT;69;5
F. JOSEPH;60;7
O. RAFFIN;74;9
A. HUBERT;42;2
A. MARION;54;3
JEROME DAVID;65;2
PH.E. TRIBLE;22;1
A. DREUX;30;3
MME F.F. BERTRAND;10;0
ALEXANDRE CHEVRIER;37;3
D. STOEHR;13;2
J. BESCHER;42;4
D. CHERBONNEL;27;1
D. BETHOUART;33;3
M. COLLIN;7;0
J.L.CL. DERSOIR;27;7
S. TESSIER;17;0
J. GRUMETZ;28;2
B. LE BELLER;84;7
G. ROIG-BALAGUER;34;3
R. JAJOLET;47;1
STÉ. ENT. ETIENNE DUBOIS;127;21
E. PELTIER;30;2
MLLE C. LECLERCQ;38;1
V. VIEL;27;3
B.J. CREBAS;47;6
L. VERVA;95;7
GUILLERMO HORRACH VIDAL;50;1
W. MICHEL;27;0
ANTHONY DOLLION;99;5
F.B. LARSSON;7;0
B. GOOP;22;2
M. CLAEYSSENS;7;0
L. ROELENS;50;4
F. DUCROCQ;47;1
S. DIEUDONNE;17;1
TH. DEVOUASSOUX;7;0
H. LECOQ;34;0
MME CONSTANCE CHAZAL;18;1
L. SWITA;17;0
E. LINDEGREN;4;0
DAVID PERSSON;11;0
MME MARIA TORNQVIST;16;5
P. LELIEVRE;95;18
MME S. LAVIGNE;6;2
CH. HESLOUIN;37;3
RUDOLPHE BOTQUIN;5;0
N. RAIMBEAUX;91;4
N. BRIDAULT;133;11
Y. DOCQUIN;23;1
M. LENDERS;3;0
L. CHARBONNEL;48;1
CL. ZUNN;9;0
K. THONNERIEUX;76;4
E. OHANESSIAN;44;2
N. JULIEN;52;0
M. DUPUIS;50;2
D. GAUDIN;8;0
MLLE A. LEBRETON;11;0
S. CINGLAND;100;5
E. BACHELOT;9;1
A. MARCHAUX;5;0
CH. GALLIER;10;0
PH. BOUTIN;52;8
A. SOURICE;44;1
B. CHANONAT;20;3
J.CH. AUDRAN;9;0
D. VALLEE;3;0
F. GUINE;2;0
J.F. MARY;36;0
J.PH. MARY;25;0
C. DUBANCHET;9;0
TH. MARTIN;5;0
B. ROUER;25;1
MME J. STRANG;4;0
CL. GUILLON;13;1
STÉ. ENT. JONATHAN VANMEERBECK;137;7
CH.J. BIGEON;63;1
FILIPPO ROCCA;19;1
BENJAMIN LEREBOURG;12;2
J. BLAVETTE;37;5
L. CANNAERT;39;1
CH. NICOLE;96;2
CH.M. BRUNEAU;43;3
PAVEL TAMSIN;75;8
DANIEL REDEN;9;0
J. EHLERS;5;0
J. AUVARD;5;0
G. LOMBARDO JR.;2;0
IVAN PETRONELLI;2;0
EDOARDO LOCCISANO;12;3
A. CLERIN;14;0
J. UNTERSTEINER;19;3
M. ABRIVARD;211;31
A. LAURENT;50;7
D.M. OLIVIER;17;0
G. BOUTEILLER;17;1
J. PLANCHARD;25;2
J. SEVIN;9;0
R. GOUGEON;13;2
MATTHIAS CHOLLOUX;14;0
M. DAVID;7;1
F. GUINHUT;31;0
V. GOUIN;22;1
HUGHES LEVESQUE;27;2
L. PESCHET;30;4
A.H. VIEL;16;0
MLLE S. TREICH;36;2
JEAN-FRANÇOIS MOQUET;33;2
Y. HALLAIS;18;4
MLLE P. GAPTEAU;12;0
A. RIEUPEYROUX;4;0
D. CANNILLO;23;0
A. REDON;3;0
J. CAPELLE;20;1
B. MUEL;6;0
S. CAMBOU;4;0
G. LIZEE;18;1
J.F. POPOT;45;4
MLLE CL. BEILEARD;28;0
R. JOLY;20;2
B. CONSTANTIN;11;2
P. DESSARTRE;12;0
P.F. DE GRAVE;17;1
A. PEREIRA;29;3
A. ACEF;5;0
STÉ. ENT. BENOÎT BARASSIN;12;4
MME V. MOQUET;56;2
ERIC LEDOYEN;8;1
LEO ABRIVARD;68;6
R. GOUT;19;0
P. PLOQUIN;42;13
ARNAUD DESMOTTES;103;9
ANTTI OJANPERA;17;0
MATTIAS DJUSE;3;0
J.M. CHAINEUX;107;14
A. BUISSON;77;13
J. JULIEN;15;2
N. VIMOND;26;1
PH. ROUER;5;0
J. ASSELIE;11;0
P.M. MANCEAU;21;2
B. RUET;49;1
O. BIZOUX;43;3
G. TOURON;137;4
MME N. DESPRES;45;1
B. CURY;47;2
G. FOURNIGAULT;66;9
TH. LEMOINE;38;2
A. CHAPEY;15;2
F.J. PELTIER;44;3
H. NEUVILLE;15;1
G. MOINON;38;1
F. DELENCLOS;25;0
R. DOUYERE;18;1
