nom;nb_courses;nb_victoires;gains_total;somme_distances;derniere_date
MARQUIS LA MAZURE;5;0;0;13600.0;2026-07-15
MAGELLAN DELO;2;0;0;5250.0;2026-04-28
JIM JOY;5;0;0;13775.0;2026-06-05
JUMPIE PURPLE;1;0;0;2650.0;2026-01-08
JUNO ELLIS;7;0;0;18175.0;2026-06-17
JAGER BOUMBOUM;4;0;0;11300.0;2026-06-07
JAZZ MARTINEZ;3;0;0;8550.0;2026-02-21
JESABELLE DU JOUR;3;0;0;7825.0;2026-07-03
INDY DE MAI;5;0;0;13575.0;2026-05-15
I LOVE GABINLEA;5;0;0;13175.0;2026-06-16
JACINTHE DU BOIRON;7;1;0;18050.0;2026-06-27
JOGGER KILY;10;0;0;27150.0;2026-07-14
JASMIN GEMA;9;4;0;24450.0;2026-07-10
JAVA DU CHERISAY;7;0;0;17850.0;2026-07-10
JALTO DU TREMONT;7;0;0;18500.0;2026-07-13
INES DE FAEL;1;0;0;2650.0;2026-01-08
IZAYA DE COUSSERAT;5;1;0;13125.0;2026-04-05
LYNX DES RACQUES;6;0;0;15850.0;2026-03-29
LUCKY AIMEF;5;0;0;13200.0;2026-07-12
L'ARTISTE D'AVENIR;5;1;0;12925.0;2026-05-17
LUCKY D'AVAL;3;0;0;7900.0;2026-06-27
LATINUS AVIS;6;1;0;16650.0;2026-04-03
LE BEAU FOXGLEN;4;0;0;10850.0;2026-04-03
L'INDIEN DU VALVIC;6;0;0;15775.0;2026-04-19
LUKABEL;4;1;0;10800.0;2026-06-02
LAISSEZ PASSER;5;0;0;13225.0;2026-06-05
LUIGI WALLIE;3;1;0;7900.0;2026-04-02
LOUISIS DU LUPIN;3;1;0;8000.0;2026-05-01
LOTUS DE BLAY;2;0;0;5450.0;2026-07-14
LUIZANT;4;1;0;10700.0;2026-04-17
LE LITTLE CORSE;8;0;0;21175.0;2026-05-30
LATINA PENEME;4;0;0;10525.0;2026-02-01
LUCRECE;8;2;0;21500.0;2026-06-05
LOLA DE CHENU;9;1;0;22750.0;2026-06-29
LARA VRIE;7;1;0;19150.0;2026-05-08
LISA DU VIGNAC;3;0;0;7625.0;2026-05-17
LINE GASCOGNE;7;0;0;17700.0;2026-05-17
LAIKA CARISAIE;3;0;0;8225.0;2026-06-20
LOLITA DE MIELOUI;5;0;0;12700.0;2026-06-04
LADY DU CORTA;6;0;0;15425.0;2026-07-14
LOUISE D'ERPION;6;1;0;16375.0;2026-04-17
LOLITA DE LORIOL;5;0;0;13675.0;2026-04-19
LOVE QUEEN;1;0;0;2650.0;2026-01-08
LIZENN D'ERQUY;7;1;0;18600.0;2026-07-17
NAOMIE WIND;1;1;0;2875.0;2026-01-08
NAUSICAA;7;0;0;16100.0;2026-05-11
NEFERTITI PIYA;7;1;0;17900.0;2026-06-16
NOVAVILAH;1;0;0;2875.0;2026-01-08
NUANCE DE LAURIERE;5;0;0;13975.0;2026-06-13
NOBLESSE OBLIGE EC;1;0;0;2875.0;2026-01-08
NOISETTE DE SOCERY;2;0;0;5575.0;2026-06-06
NINA DE L'AUMOY;3;0;0;7225.0;2026-02-15
NAGOYA QUICK;6;0;0;15875.0;2026-06-26
NEUILLY DE PLAY;9;0;0;22475.0;2026-07-10
NAVAH MERCURY;8;0;0;20850.0;2026-05-05
NELSON DE BELLANDE;5;0;0;13075.0;2026-04-13
NICO ARCTIC;5;0;0;13550.0;2026-05-18
NICO DU CEDRE;4;0;0;11100.0;2026-03-08
NORTH OF STATE;3;1;0;8550.0;2026-03-06
NOWAKI DU BOCAGE;1;0;0;2875.0;2026-01-08
NYANGA;2;1;0;5675.0;2026-05-18
