nom;partants;victoires
D. LOCQUENEUX;44;4
J. VELDMAN;2;0
R. SEVESTRE;10;0
M. MONACO;25;0
G. PRAT;26;1
C. BEDEL;14;0
V. REZE;4;0
Y. SALIOT;19;0
C. FERRE;9;0
A. RANDON;18;1
MLLE MATHILDE LEPAGE;4;0
MME M.K. DUVAL;19;1
MME E. SOURICE;10;1
MLLE CH. MARCILLE;5;0
P. HERGNO;8;0
MLLE A. CHANTRIS;3;0
G. POREE;9;1
P. TROIA;4;1
D. GRIMAULT;27;1
L.M. DAVID;115;11
A. GARANDEAU;69;3
G. HOUEL;17;0
J. VAN DEN PUTTE JR.;32;5
K. BROSSARD;25;1
G. LICCARDO;2;0
PH. MASSCHAELE;103;3
P. HORNOY;4;0
L. TRAVERT;22;0
G. SUCAET;31;4
D. CAILLET;7;1
A. NEIRINCK;15;2
S. HOSTE;21;5
K. PHLYPO;10;0
V.TH. RENAULT;9;0
K. DAVID;38;1
BASTIEN JOSEPH;4;0
J. CERISIER;14;0
B. LEREBOURG;3;0
J. BLAVETTE;16;2
MLLE M. BLOT;13;0
M. PISTONE;1;0
P. COURVAL;16;1
MLLE C. GIRARD;3;0
K. ACHARD;32;2
A. DEFORTESCU;5;0
M. MAIGNAN;57;3
C. MESNIL;16;3
DIDIER PRIOU;12;1
M. RAHAULT;7;0
L. BEAUMONT;7;0
FREDDY MOREAU;2;0
J. RUAULTS;18;3
CH. HENRY;11;0
X. LIGNEL;3;0
H. LECOQ;9;0
C. ENAULT;19;0
J. DEVILLE;24;0
L. PESCHET;7;0
J.ET. THUET;1;0
L. AUBE;6;0
P. OLLITRAULT;28;2
M. ZACCHERINI;2;0
Y. ACKER;6;0
L. DE NEVE;7;0
D. REDEN;3;0
S. DEMANT ANDERSEN;1;0
M. NEWBERRY;1;0
M. WALCHER;1;0
J.CL. GARDAZ;1;0
T. KESKITALO;1;0
H.B. JOHANSSON;1;0
D.I. BOSCH MOLL;1;0
Y.R. MOLLEMA;1;0
J. GAFA;1;0
S. HIENDLMEIER;1;0
M. VAN DOOYEWEERD;14;2
F. VERKAIK;3;0
L. VERRIERE;140;2
CH. BOUTEILLER;18;1
JEROME DAVID;34;0
S. ROUSSELLE;5;0
T. GOUSSIN;9;0
R. JAJOLET;8;0
F. BRIDAULT;6;0
CH. FOURE;2;0
TH. MENARD;9;0
D. LEPIGEON;15;0
CL. CIMAROSTI;4;0
C. MARTINE;5;0
P. DEVESLY;12;0
A. FAVRAY;10;0
D. PUNIERE;11;0
G. COGNE;11;1
A. PLARD;7;0
C. LETOUZE;12;0
MLLE A. RENAULT;12;0
S. DERSOIR;7;0
MAXIME HAMELIN;5;0
CH.M. DUVAL;10;0
ARNAUD GIRARD;9;0
D. ARMELLINI;23;1
S. RAITALA;4;0
M. NIMCZYK;6;2
C. JANVIER;7;0
G. DELAUNE;5;0
MLLE E. PRIVAT;9;0
JULIEN GRISON;9;0
CH. CHALON;29;4
J.PH. DUBOIS;39;3
B. GROULT;13;0
P.L. DESAUNETTE;20;0
TH. ROULLIER;12;0
Y.R. LE MEE;14;0
A. GASSIRARO;4;0
B. GALLON;8;1
CL. MATHE;17;0
L. BAUDRON;43;3
V. MARTENS;6;1
A. THOLLAS;13;0
A. CINGLAND;12;0
TH. BORODAJKO;22;2
A.A. BOULARD;13;0
MLLE L. BANIDE;10;0
W. BAUDY;18;0
A. REVEILLON;8;0
T. AGUIAR;11;0
MLLE J. BUSSET;7;1
MLLE N. DESPRES;6;0
M.M. MUTEL;11;0
H. JAY;6;0
PH. JEANNERET;9;0
MME L. CURY;3;0
LUC DUMONT;5;0
M. CORDEAU;22;2
J. CANDON;10;3
S. CHARRIAUD;10;1
N. MARTINEAU;42;2
L. DELANOE;4;1
LOIC GROUSSARD;13;0
CH. NICOLE;35;1
CH.A. MALLET;5;0
V. TESTARD;14;0
S. BLOT;1;0
MLLE MAUD GOETZ;9;0
MLLE CH. BERTHOMIER CHARLES;6;0
MME CLEA ROGER;4;0
M. LELIEVRE;5;0
A. GUZZINATI;17;2
