date;race_id;numero;score;resultat;p_marche_final
2026-01-09;20260109-R4C1;1;-4.22769;0;0.00799
2026-01-09;20260109-R4C1;2;-1.94419;0;0.00855
2026-01-09;20260109-R4C1;3;4.22085;0;0.05293
2026-01-09;20260109-R4C1;4;-4.52769;0;0.08642
2026-01-09;20260109-R4C1;5;-0.82328;0;0.10328
2026-01-09;20260109-R4C1;6;7.03946;0;0.13883
2026-01-09;20260109-R4C1;7;5.20991;1;0.30246
2026-01-09;20260109-R4C1;8;-2.68308;0;0.01568
2026-01-09;20260109-R4C1;9;-1.92178;0;0.0292
2026-01-09;20260109-R4C1;10;-2.42379;0;0.00985
2026-01-09;20260109-R4C1;11;-3.29135;0;0.09624
2026-01-09;20260109-R4C1;12;5.37266;0;0.14857
2026-01-09;20260109-R4C2;1;-0.6526;1;0.1369
2026-01-09;20260109-R4C2;2;0.499;0;0.04715
2026-01-09;20260109-R4C2;3;4.55841;0;0.07716
2026-01-09;20260109-R4C2;5;-1.10509;0;0.19739
2026-01-09;20260109-R4C2;6;-0.98365;0;0.01391
2026-01-09;20260109-R4C2;7;-1.48679;0;0.30314
2026-01-09;20260109-R4C2;8;1.73425;0;0.1929
2026-01-09;20260109-R4C2;9;-2.56354;0;0.03144
2026-01-09;20260109-R4C3;1;1.80642;0;0.0087
2026-01-09;20260109-R4C3;2;-2.45955;0;0.00681
2026-01-09;20260109-R4C3;3;-5.37342;0;0.04021
2026-01-09;20260109-R4C3;4;1.37078;1;0.1919
2026-01-09;20260109-R4C3;5;-0.67283;0;0.1111
2026-01-09;20260109-R4C3;6;-6.10974;0;0.01456
2026-01-09;20260109-R4C3;7;-1.38988;0;0.02814
2026-01-09;20260109-R4C3;8;-1.26631;0;0.08888
2026-01-09;20260109-R4C3;9;3.5521;0;0.07676
2026-01-09;20260109-R4C3;10;1.57326;0;0.01126
2026-01-09;20260109-R4C3;11;-1.91061;0;0.01069
2026-01-09;20260109-R4C3;12;10.53697;0;0.21109
2026-01-09;20260109-R4C3;13;-0.33931;0;0.09818
2026-01-09;20260109-R4C3;14;0.68214;0;0.10173
2026-01-09;20260109-R4C4;1;-0.57587;0;0.01759
2026-01-09;20260109-R4C4;2;-5.15041;0;0.0074
2026-01-09;20260109-R4C4;3;-0.57994;0;0.01796
2026-01-09;20260109-R4C4;4;-3.32711;0;0.01069
2026-01-09;20260109-R4C4;5;2.70728;0;0.10822
2026-01-09;20260109-R4C4;6;3.81428;0;0.17227
2026-01-09;20260109-R4C4;8;-1.85002;0;0.05628
2026-01-09;20260109-R4C4;9;-4.39233;0;0.00649
2026-01-09;20260109-R4C4;10;-1.88976;0;0.00908
2026-01-09;20260109-R4C4;11;1.82734;1;0.31264
2026-01-09;20260109-R4C4;12;9.41654;0;0.28138
2026-01-09;20260109-R4C6;1;-6.82672;0;0.01484
2026-01-09;20260109-R4C6;2;-2.63751;0;0.02417
2026-01-09;20260109-R4C6;3;-1.28277;0;0.03679
2026-01-09;20260109-R4C6;4;-0.23528;0;0.03679
2026-01-09;20260109-R4C6;5;1.61776;0;0.10576
2026-01-09;20260109-R4C6;6;4.09799;0;0.16271
2026-01-09;20260109-R4C6;7;-3.29411;0;0.22867
2026-01-09;20260109-R4C6;8;2.09044;0;0.07692
2026-01-09;20260109-R4C6;9;6.47019;1;0.31336
2026-01-09;20260109-R4C7;1;0.20697;0;0.19133
2026-01-09;20260109-R4C7;2;-5.69962;0;0.00946
2026-01-09;20260109-R4C7;3;-0.65318;0;0.01958
2026-01-09;20260109-R4C7;4;1.92909;0;0.21586
2026-01-09;20260109-R4C7;5;0.40514;0;0.06013
2026-01-09;20260109-R4C7;6;-3.55255;0;0.02053
2026-01-09;20260109-R4C7;7;1.19629;0;0.07653
2026-01-09;20260109-R4C7;9;-1.04237;1;0.12026
2026-01-09;20260109-R4C7;10;-1.3033;0;0.0183
2026-01-09;20260109-R4C7;11;-4.13623;0;0.1238
2026-01-09;20260109-R4C7;12;10.33156;0;0.07653
2026-01-09;20260109-R4C7;13;2.98939;0;0.04431
2026-01-09;20260109-R4C7;14;-0.6712;0;0.02338
2026-01-10;20260110-R1C1;1;2.49704;0;0.02987
2026-01-10;20260110-R1C1;2;-1.05745;0;0.0076
2026-01-10;20260110-R1C1;3;-0.71565;0;0.01549
2026-01-10;20260110-R1C1;4;-2.25877;0;0.03636
2026-01-10;20260110-R1C1;5;5.09561;0;0.11456
2026-01-10;20260110-R1C1;6;0.16861;0;0.02323
2026-01-10;20260110-R1C1;7;-5.08441;0;0.05974
2026-01-10;20260110-R1C1;8;-0.77128;0;0.02613
2026-01-10;20260110-R1C1;9;-1.24372;0;0.01707
2026-01-10;20260110-R1C1;10;-5.70413;0;0.00691
2026-01-10;20260110-R1C1;11;0.1752;0;0.01578
2026-01-10;20260110-R1C1;12;-1.37541;0;0.03982
2026-01-10;20260110-R1C1;13;7.86621;1;0.44017
2026-01-10;20260110-R1C1;14;2.40815;0;0.16726
2026-01-10;20260110-R1C2;1;-5.78773;0;0.01824
2026-01-10;20260110-R1C2;2;-2.57031;0;0.03228
2026-01-10;20260110-R1C2;3;-4.18305;0;0.01291
2026-01-10;20260110-R1C2;4;4.27308;0;0.10623
2026-01-10;20260110-R1C2;5;1.97174;1;0.19516
2026-01-10;20260110-R1C2;6;0.74126;0;0.04417
2026-01-10;20260110-R1C2;7;0.16964;0;0.08392
2026-01-10;20260110-R1C2;8;-3.79388;0;0.36486
2026-01-10;20260110-R1C2;9;9.17925;0;0.14223
2026-01-10;20260110-R1C3;1;-2.52709;0;0.00718
2026-01-10;20260110-R1C3;2;-2.33557;0;0.01541
2026-01-10;20260110-R1C3;3;1.98976;0;0.07063
2026-01-10;20260110-R1C3;4;-2.68928;0;0.00678
2026-01-10;20260110-R1C3;5;-0.92459;0;0.14366
2026-01-10;20260110-R1C3;6;-1.62523;1;0.12465
2026-01-10;20260110-R1C3;7;1.22515;0;0.07705
2026-01-10;20260110-R1C3;8;-3.35014;0;0.06054
2026-01-10;20260110-R1C3;9;1.53117;0;0.10867
2026-01-10;20260110-R1C3;10;7.33071;0;0.09314
2026-01-10;20260110-R1C3;11;1.37509;0;0.29228
2026-01-10;20260110-R1C4;1;6.57991;0;0.08456
2026-01-10;20260110-R1C4;2;3.07386;0;0.11745
